Comuna,cod_com,Apruebo,Rechazo,Blancos,Nulos,Total general,P_Apruebo,P_Rechazo,Total Mesas,Total Electores,Total Votación,Part_2020,part_2017,DIF
IQUIQUE,1101,60976,18855,114,275,80220,"0,760109698","0,235041137",598,167867,80220,"0,48","0,41","0,07"
ALTO HOSPICIO,1107,21373,4608,46,102,26129,"0,817980022","0,176355773",171,57742,26129,"0,45","0,34","0,11"
POZO ALMONTE,1401,3730,1076,8,29,4843,"0,77018377","0,222176337",37,11866,4843,"0,41","0,37","0,04"
CAMIÑA,1402,293,207,2,11,513,"0,571150097","0,403508772",7,2549,513,"0,20","0,29","-0,08"
COLCHANE,1403,131,374,3,16,524,"0,25","0,713740458",7,2995,524,"0,18","0,27","-0,09"
HUARA,1404,1136,379,6,8,1529,"0,742969261","0,247874428",28,9041,1529,"0,17","0,17","0,00"
PICA,1405,1769,646,4,16,2435,"0,726488706","0,265297741",17,5460,2435,"0,45","0,47","-0,02"
ANTOFAGASTA,2101,119982,23532,129,430,144073,"0,832786157","0,163333865",827,284389,144073,"0,51","0,42","0,09"
MEJILLONES,2102,4572,533,7,16,5128,"0,891575663","0,103939158",30,9825,5128,"0,52","0,41","0,11"
SIERRA GORDA,2103,749,104,0,3,856,"0,875","0,121495327",9,3166,856,"0,27","0,17","0,10"
TALTAL,2104,4072,565,9,19,4665,"0,872883173","0,121114684",31,10408,4665,"0,45","0,39","0,06"
CALAMA,2201,52113,10259,93,361,62826,"0,829481425","0,163292268",382,132447,62826,"0,47","0,41","0,06"
OLLAGUE,2202,317,61,0,1,379,"0,836411609","0,160949868",5,1788,379,"0,21","0,14","0,08"
SAN PEDRO DE ATACAMA,2203,2911,398,12,16,3337,"0,872340426","0,119268804",20,6928,3337,"0,48","0,42","0,07"
TOCOPILLA,2301,9210,1023,17,37,10287,"0,895304754","0,099445903",69,22316,10287,"0,46","0,37","0,09"
MARIA ELENA,2302,1938,187,5,8,2138,"0,90645463","0,08746492",17,6451,2138,"0,33","0,25","0,08"
COPIAPO,3101,51042,9635,64,230,60971,"0,837152089","0,158025947",414,123347,60971,"0,49","0,45","0,05"
CALDERA,3102,6812,1125,12,74,8023,"0,849058956","0,140221862",43,14652,8023,"0,55","0,46","0,09"
TIERRA AMARILLA,3103,5084,660,15,26,5785,"0,878824546","0,114088159",42,12762,5785,"0,45","0,44","0,01"
CHAÑARAL,3201,5185,544,16,19,5764,"0,899548924","0,094378904",38,11989,5764,"0,48","0,41","0,07"
DIEGO DE ALMAGRO,3202,4886,499,8,17,5410,"0,903142329","0,092236599",41,13455,5410,"0,40","0,34","0,06"
VALLENAR,3301,18485,2463,37,90,21075,"0,877105575","0,116868327",133,45465,21075,"0,46","0,45","0,02"
ALTO DEL CARMEN,3302,1559,241,8,9,1817,"0,858007705","0,132636214",15,4871,1817,"0,37","0,40","-0,03"
FREIRINA,3303,2465,221,1,14,2701,"0,912624954","0,081821548",18,5899,2701,"0,46","0,47","-0,02"
HUASCO,3304,3808,404,6,18,4236,"0,898961284","0,095372993",25,8326,4236,"0,51","0,46","0,05"
LA SERENA,4101,73254,16536,106,237,90133,"0,812732296","0,183462217",502,172217,90133,"0,52","0,49","0,03"
COQUIMBO,4102,68738,12572,102,279,81691,"0,841439081","0,153897002",483,165547,81691,"0,49","0,45","0,04"
ANDACOLLO,4103,5450,582,13,26,6071,"0,897710427","0,095865591",35,11221,6071,"0,54","0,50","0,04"
LA HIGUERA,4104,1345,206,4,9,1564,"0,859974425","0,131713555",14,4286,1564,"0,37","0,45","-0,09"
PAIHUANO,4105,1958,442,6,8,2414,"0,811101906","0,183098592",15,5122,2414,"0,47","0,48","-0,01"
VICUÑA,4106,9483,1308,21,45,10857,"0,873445703","0,120475269",67,23097,10857,"0,47","0,48","-0,01"
ILLAPEL,4201,11166,1382,29,56,12633,"0,883875564","0,109396026",81,27634,12633,"0,46","0,45","0,01"
CANELA,4202,3320,433,12,16,3781,"0,878074583","0,114519968",27,8913,3781,"0,42","0,51","-0,09"
LOS VILOS,4203,7679,1153,19,24,8875,"0,865239437","0,129915493",54,18062,8875,"0,49","0,46","0,03"
SALAMANCA,4204,8984,1470,16,53,10523,"0,853748931","0,139694004",68,23171,10523,"0,45","0,45","0,00"
OVALLE,4301,34181,5898,89,170,40338,"0,847364768","0,146214488",268,91515,40338,"0,44","0,44","0,00"
COMBARBALA,4302,4428,614,15,17,5074,"0,872684273","0,121009066",39,12460,5074,"0,41","0,45","-0,04"
MONTE PATRIA,4303,9845,1275,23,56,11199,"0,879096348","0,113849451",95,27916,11199,"0,40","0,42","-0,01"
PUNITAQUI,4304,3627,505,16,27,4175,"0,868742515","0,120958084",31,10557,4175,"0,40","0,46","-0,06"
RIO HURTADO,4305,1353,266,10,9,1638,"0,826007326","0,162393162",15,4690,1638,"0,35","0,43","-0,08"
VALPARAISO,5101,122078,25405,199,490,148172,"0,823893853","0,171456146",884,290851,148172,"0,51","0,42","0,09"
CASABLANCA,5102,9148,2292,16,52,11508,"0,794925269","0,199165798",64,22139,11508,"0,52","0,51","0,01"
CONCON,5103,15705,8573,32,74,24384,"0,644069882","0,351583005",111,38162,24384,"0,64","0,60","0,04"
JUAN FERNANDEZ,5104,377,62,0,0,439,"0,858769932","0,141230068",3,917,439,"0,48","0,37","0,11"
PUCHUNCAVI,5105,7243,1372,24,19,8658,"0,836567337","0,158466158",42,15245,8658,"0,57","0,52","0,05"
QUINTERO,5107,10452,2400,21,70,12943,"0,807540756","0,185428417",71,24237,12943,"0,53","0,49","0,04"
VIÑA DEL MAR,5109,116872,43313,396,492,161073,"0,725584052","0,26890292",936,301101,161073,"0,54","0,48","0,06"
ISLA DE PASCUA,5201,2292,416,7,11,2726,"0,84079237","0,152604549",18,6053,2726,"0,45","0,33","0,12"
LOS ANDES,5301,25366,5773,37,100,31276,"0,811037217","0,184582427",163,56032,31276,"0,56","0,51","0,05"
CALLE LARGA,5302,5607,955,10,37,6609,"0,848388561","0,144499924",33,11265,6609,"0,59","0,53","0,06"
RINCONADA,5303,4365,1036,15,18,5434,"0,803275672","0,190651454",27,9195,5434,"0,59","0,56","0,04"
SAN ESTEBAN,5304,7115,1462,15,46,8638,"0,823686038","0,169252142",45,14902,8638,"0,58","0,56","0,02"
LA LIGUA,5401,13580,2340,24,57,16001,"0,848696956","0,14624086",91,30147,16001,"0,53","0,53","0,00"
CABILDO,5402,7948,1100,16,35,9099,"0,873502583","0,120892406",53,18037,9099,"0,51","0,48","0,03"
PAPUDO,5403,2779,701,5,13,3498,"0,794453974","0,200400229",18,5643,3498,"0,62","0,60","0,02"
PETORCA,5404,4146,458,15,20,4639,"0,893727096","0,098728174",28,9320,4639,"0,50","0,48","0,01"
ZAPALLAR,5405,3250,1643,3,13,4909,"0,662049297","0,334691383",24,7930,4909,"0,62","0,63","-0,01"
QUILLOTA,5501,30871,7933,47,142,38993,"0,791706204","0,203446772",219,75056,38993,"0,52","0,48","0,04"
CALERA,5502,20625,3451,45,94,24215,"0,851744786","0,14251497",131,44986,24215,"0,54","0,48","0,06"
HIJUELAS,5503,6338,1266,16,28,7648,"0,828713389","0,165533473",45,15422,7648,"0,50","0,50","0,00"
LA CRUZ,5504,6989,1988,7,22,9006,"0,776038197","0,220741728",46,15760,9006,"0,57","0,56","0,01"
NOGALES,5506,9519,1221,25,46,10811,"0,880492091","0,112940524",65,19641,10811,"0,55","0,49","0,06"
SAN ANTONIO,5601,38979,4939,34,100,44052,"0,884840643","0,112117498",229,78551,44052,"0,56","0,50","0,06"
ALGARROBO,5602,4932,2118,13,23,7086,"0,696020322","0,298899238",38,12896,7086,"0,55","0,57","-0,02"
CARTAGENA,5603,7346,1700,11,18,9075,"0,809476584","0,187327824",55,17721,9075,"0,51","0,52","-0,01"
EL QUISCO,5604,5643,1550,13,35,7241,"0,77931225","0,214058832",38,12914,7241,"0,56","0,57","-0,01"
EL TABO,5605,4675,1142,6,19,5842,"0,800239644","0,195481",34,10307,5842,"0,57","0,58","-0,01"
SANTO DOMINGO,5606,4003,2583,15,22,6623,"0,604408878","0,39000453",35,10898,6623,"0,61","0,65","-0,05"
SAN FELIPE,5701,27101,6123,45,127,33396,"0,811504372","0,183345311",177,60048,33396,"0,56","0,50","0,06"
CATEMU,5702,9148,2292,16,52,11508,"0,794925269","0,199165798",35,12039,5965,"0,50","0,50","-0,01"
